# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)rho_scf            15:(.)p_scf              16:(.)w_scf              17:phi_scf               18:phi'_scf              19:V_scf                 20:V'_scf                21:V''_scf               22:gr.fac. D             23:gr.fac. f          
       7.357043021222e+13       1.396462361706e-25       6.300069799181e-09       1.167795088625e+22       7.864208707108e+03       1.068936077229e-10       5.785732178606e+17       3.637274047590e-09       8.061061870468e+43       9.761631385265e+32       5.333629203695e+33       5.576391819075e+43       1.363745369017e+44       1.867870387212e+02      -9.683834417056e+01      -5.184425259565e-01       7.933743719450e-01       2.232825400747e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       5.009162785796e-04       3.258103671734e+00 
       7.305901709257e+13       1.416081261426e-25       6.343725544866e-09       1.151616034950e+22       7.864208707108e+03       1.076418629769e-10       5.745513583522e+17       3.662734965923e-09       7.839247429430e+43       9.559473911558e+32       5.223172973281e+33       5.422947489502e+43       1.326219491955e+44       1.849435442896e+02      -9.868183860220e+01      -5.335781737139e-01       7.933743719450e-01       2.201891033615e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       5.123007394564e-04       3.185701367918e+00 
       7.255115897971e+13       1.435975787067e-25       6.388290785253e-09       1.135661131711e+22       7.864208707108e+03       1.083953560178e-10       5.705574561591e+17       3.688374110685e-09       7.623536606878e+43       9.361502996691e+32       5.115004224499e+33       5.273725453312e+43       1.289726206080e+44       1.831756145281e+02      -1.004497683636e+02      -5.483795898400e-01       7.933743719450e-01       2.171385242346e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       5.236852003332e-04       3.116446990354e+00 
       7.204683116158e+13       1.456149810900e-25       6.432856025640e-09       1.119927273447e+22       7.864208707108e+03       1.091541235099e-10       5.665913169405e+17       3.714192729459e-09       7.413761450905e+43       9.167631939567e+32       5.009075584990e+33       5.128609526601e+43       1.254237097810e+44       1.814801520479e+02      -1.021452308439e+02      -5.628451910097e-01       7.933743719450e-01       2.141302089293e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       5.350696612100e-04       3.050139607581e+00 
       7.154600909790e+13       1.476607259593e-25       6.478330760729e-09       1.104411397720e+22       7.864208707108e+03       1.099182023745e-10       5.626527477065e+17       3.740192078565e-09       7.209758631098e+43       8.977775834615e+32       4.905340663449e+33       4.987486722469e+43       1.219724535415e+44       1.798541864216e+02      -1.037711964702e+02      -5.769740395533e-01       7.933743719450e-01       2.111635719076e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       5.464541220868e-04       2.986595032423e+00 
       7.104866841896e+13       1.497352114983e-25       6.523805495817e-09       1.089110484523e+22       7.864208707108e+03       1.106876297911e-10       5.587415568089e+17       3.766373423115e-09       7.011369311369e+43       8.791851534608e+32       4.803754029303e+33       4.850247163053e+43       1.186161647499e+44       1.782948689793e+02      -1.053305139124e+02      -5.907658168483e-01       7.933743719450e-01       2.082380357434e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       5.578385829636e-04       2.925644113394e+00 
       7.055478492449e+13       1.518388414846e-25       6.569280230906e-09       1.074021555688e+22       7.864208707108e+03       1.114624431996e-10       5.548575539313e+17       3.792738037076e-09       6.818439026289e+43       8.609777614246e+32       4.704271192824e+33       4.716783993974e+43       1.153522302082e+44       1.767994678182e+02      -1.068259150736e+02      -6.042207954122e-01       7.933743719450e-01       2.053530310107e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       5.692230438404e-04       2.867131231126e+00 
       7.006433458242e+13       1.539720253686e-25       6.614754965995e-09       1.059141674306e+22       7.864208707108e+03       1.122426803020e-10       5.510005500808e+17       3.819287203336e-09       6.630817560821e+43       8.431474334498e+32       4.606848585634e+33       4.586993301144e+43       1.121781086251e+44       1.753653630156e+02      -1.082600198762e+02      -6.173398099522e-01       7.933743719450e-01       2.025079961725e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       5.806075047172e-04       2.810912971692e+00 
       6.957729352772e+13       1.561351783530e-25       6.661139195785e-09       1.044467944158e+22       7.864208707108e+03       1.130283790641e-10       5.471703575777e+17       3.846022213759e-09       6.448358833359e+43       8.256863607683e+32       4.511443541634e+33       4.460774029851e+43       1.090913286374e+44       1.739900420392e+02      -1.096353408526e+02      -6.301242276145e-01       7.933743719450e-01       1.997023774714e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       5.919919655940e-04       2.756856953006e+00 
       6.909363806129e+13       1.583287214737e-25       6.708432920277e-09       1.029997509152e+22       7.864208707108e+03       1.138195777176e-10       5.433667900474e+17       3.872944369255e-09       6.270920781994e+43       8.085868963263e+32       4.418014278312e+33       4.338027906086e+43       1.060894868860e+44       1.726710953454e+02      -1.109542875463e+02      -6.425759176681e-01       7.933743719450e-01       1.969356288221e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       6.033764264707e-04       2.704840784082e+00 
