# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:(.)w_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       1.978408743907e+05       1.920104396059e-08       2.332734149304e+00       8.517313466482e+04       1.266770461255e+04       6.402944094397e-02       2.506202424774e+09       1.345671059606e+00       4.215527664827e+09       1.898310154718e+07       1.037212129743e+08       2.985121549152e-08       2.916170891746e+09       7.254462868631e+09       5.999753731217e+04      -5.999747759656e+04      -9.999990046989e-01       5.999875371424e-02      -2.139372305466e-06       1.799925223631e+05       1.799925223631e+05       1.799925223631e+05       6.701497867624e-04       7.231324419680e-02 
       1.964655676292e+05       1.947003554352e-08       2.348993890433e+00       8.399806298202e+04       1.266768835280e+04       6.447757756278e-02       2.488777250472e+09       1.355042757798e+00       4.099526549850e+09       1.858996151372e+07       1.015731466513e+08       2.985121549152e-08       2.835924929247e+09       7.055674584731e+09       5.999746785200e+04      -5.999740645282e+04      -9.999989766371e-01       5.999871856252e-02      -2.184506121371e-06       1.799923114572e+05       1.799923114572e+05       1.799923114572e+05       6.704882446019e-04       7.244999902417e-02 
       1.950998210965e+05       1.974279012278e-08       2.365366481949e+00       8.283923668550e+04       1.266767198021e+04       6.492885016586e-02       2.471473204721e+09       1.364479388499e+00       3.986717481945e+09       1.820496333242e+07       9.946956635606e+07       2.985121549152e-08       2.757887125606e+09       6.862339134636e+09       5.999739643422e+04      -5.999733330405e+04      -9.999989477849e-01       5.999868242010e-02      -2.230591318330e-06       1.799920946074e+05       1.799920946074e+05       1.799920946074e+05       6.708275158451e-04       7.258779911610e-02 
       1.937435683363e+05       2.001936022718e-08       2.381852700344e+00       8.169643094841e+04       1.266765549399e+04       6.538328069154e-02       2.454289445517e+09       1.373981396928e+00       3.877012624802e+09       1.782793838822e+07       9.740955079763e+07       2.985121549152e-08       2.681996718397e+09       6.674306829708e+09       5.999732300374e+04      -5.999725809383e+04      -9.999989181199e-01       5.999864525910e-02      -2.277647927308e-06       1.799918716463e+05       1.799918716463e+05       1.799918716463e+05       6.711676064637e-04       7.272665102392e-02 
       1.923967433541e+05       2.029979911642e-08       2.398453327356e+00       8.056942405707e+04       1.266763889337e+04       6.584089123151e-02       2.437225136709e+09       1.383549231290e+00       3.770326559116e+09       1.745872155799e+07       9.539219776468e+07       2.985121549152e-08       2.608194617203e+09       6.491432092889e+09       5.999724750387e+04      -5.999718076409e+04      -9.999988876194e-01       5.999860705082e-02      -2.325696400313e-06       1.799916424019e+05       1.799916424019e+05       1.799916424019e+05       6.715085224728e-04       7.286656133563e-02 
       1.910592806143e+05       2.058416079119e-08       2.415169150005e+00       7.945799736790e+04       1.266762217754e+04       6.630170403193e-02       2.420279447957e+09       1.393183342796e+00       3.666576216075e+09       1.709715113828e+07       9.341662373029e+07       2.985121549152e-08       2.536423357603e+09       6.313573345717e+09       5.999716987637e+04      -5.999710125519e+04      -9.999988562598e-01       5.999856776580e-02      -2.374757619222e-06       1.799914066973e+05       1.799914066973e+05       1.799914066973e+05       6.718502699315e-04       7.300753667601e-02 
       1.897311150366e+05       2.087250000350e-08       2.432000960629e+00       7.836193526481e+04       1.266760534573e+04       6.676574149449e-02       2.403451554695e+09       1.402884185685e+00       3.565680812684e+09       1.674306877439e+07       9.148196346500e+07       2.985121549152e-08       2.466627056433e+09       6.140592898446e+09       5.999709006134e+04      -5.999701950578e+04      -9.999988240170e-01       5.999852737371e-02      -2.424852904798e-06       1.799911643507e+05       1.799911643507e+05       1.799911643507e+05       6.721928549434e-04       7.314958370674e-02 
       1.884121819933e+05       2.116487226697e-08       2.448949556918e+00       7.728102511737e+04       1.266758839714e+04       6.723302617749e-02       2.386740638086e+09       1.412652217239e+00       3.467561788860e+09       1.639631939112e+07       8.958736965792e+07       2.985121549152e-08       2.398751368275e+09       5.972356843192e+09       5.999700799721e+04      -5.999693545279e+04      -9.999987908661e-01       5.999848584339e-02      -2.476004025885e-06       1.799909151750e+05       1.799909151750e+05       1.799909151750e+05       6.725362836563e-04       7.329270912653e-02 
       1.871024173059e+05       2.146133386747e-08       2.466015741949e+00       7.621505723939e+04       1.266757133095e+04       6.770358079692e-02       2.370145884988e+09       1.422487897804e+00       3.372142746272e+09       1.605675112481e+07       8.773201254557e+07       2.985121549152e-08       2.332743443138e+09       5.808734950004e+09       5.999692362066e+04      -5.999684903137e+04      -9.999987567815e-01       5.999844314281e-02      -2.528233208807e-06       1.799906589780e+05       1.799906589780e+05       1.799906589780e+05       6.728805622632e-04       7.343691967125e-02 
       1.858017572422e+05       2.176194187377e-08       2.483200324215e+00       7.516382484817e+04       1.266755414637e+04       6.817742822762e-02       2.353666487910e+09       1.432391690812e+00       3.279349388851e+09       1.572421525681e+07       8.591507954858e+07       2.985121549152e-08       2.268551885313e+09       5.649600565806e+09       5.999683686661e+04      -5.999676017487e+04      -9.999987217370e-01       5.999839923902e-02      -2.581563146951e-06       1.799903955622e+05       1.799903955622e+05       1.799903955622e+05       6.732256970023e-04       7.358222211408e-02 
